Year,Site,Transect,Code,Species,Common name,Family,Length cm,a,b,Biomass
2017,Bachelor's Beach,4,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,20,0.0309,2.95,212.81
2017,Barcadera,7,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,20,0.0309,2.95,212.81
2015,18th Palm,4,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,19,0.0309,2.95,182.93
2015,Calabas,3,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,19,0.0309,2.95,182.93
2015,Calabas,4,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,19,0.0309,2.95,182.93
2015,Forest,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,19,0.0309,2.95,182.93
2015,Barcadera,2,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,19,0.0309,2.95,182.93
2017,No Dive Reserve,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,19,0.0309,2.95,182.93
2015,Windsock,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Bachelor's Beach,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Windsock,3,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Windsock,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Front Porch,1,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Reef Scientifico,6,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Oil Slick Leap,7,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,18,0.0309,2.95,155.96
2017,Calabas,2,NA,Caranx ruber,Bar Jack,Carangidae,45,0.0074,3.237,1662.19
2017,Calabas,2,NA,Caranx ruber,Bar Jack,Carangidae,45,0.0074,3.237,1662.19
2017,Bachelor's Beach,1,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,17,0.0309,2.95,131.76
2017,Bachelor's Beach,1,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,17,0.0309,2.95,131.76
2017,Front Porch,3,NA,Caranx ruber,Bar Jack,Carangidae,42,0.0074,3.237,1329.50
2015,Reef Scientifico,3,BlM,Anisotremus surinamensis,Black Margate,Haemulidae,38,0.0233,3.01,1325.88
2017,Calabas,4,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,42,0.0194,2.9779,1323.35
2017,No Dive Reserve,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,42,0.0194,2.9779,1323.35
2017,No Dive Reserve,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,42,0.0194,2.9779,1323.35
2015,Front Porch,3,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,40,0.0194,2.9779,1144.40
2017,Barcadera,1,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,40,0.0194,2.9779,1144.40
2017,No Dive Reserve,4,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,40,0.0194,2.9779,1144.40
2017,Barcadera,3,NA,Diodon hystrix,Porcupinefish,Diodontidae,31,0.06607,2.84,1136.24
2017,No Dive Reserve,6,NA,Caranx ruber,Bar Jack,Carangidae,40,0.0074,3.237,1135.27
2017,No Dive Reserve,6,NA,Caranx ruber,Bar Jack,Carangidae,40,0.0074,3.237,1135.27
2017,Forest,1,NA,Diodon hystrix,Porcupinefish,Diodontidae,30,0.06607,2.84,1035.21
2017,18th Palm,3,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2017,Calabas,1,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,35,0.0233,3.01,1035.14
2015,Calabas,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,38,0.0194,2.9779,982.29
2017,Barcadera,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,38,0.0194,2.9779,982.29
2017,No Dive Reserve,1,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,38,0.0194,2.9779,982.29
2017,No Dive Reserve,6,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,38,0.0194,2.9779,982.29
2017,No Dive Reserve,6,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,38,0.0194,2.9779,982.29
2015,Bachelor's Beach,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,15,0.0309,2.95,91.08
2015,Front Porch,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,15,0.0309,2.95,91.08
2017,Windsock,6,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,15,0.0309,2.95,91.08
2017,Calabas,5,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,15,0.0309,2.95,91.08
2015,Calabas,3,BaJ,Caranx ruber,Bar Jack,Carangidae,38,0.0074,3.237,961.59
2017,Windsock,6,NA,Caranx ruber,Bar Jack,Carangidae,38,0.0074,3.237,961.59
2015,Reef Scientifico,2,BlM,Anisotremus surinamensis,Black Margate,Haemulidae,34,0.0233,3.01,948.65
2017,Calabas,2,NA,Lutjanus jocu,Dog Snapper,Lutjanidae,40,0.01585,2.98,942.25
2017,Calabas,1,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,40,0.0405,2.718,915.91
2017,Reef Scientifico,4,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Reef Scientifico,4,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Reef Scientifico,4,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Reef Scientifico,5,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Reef Scientifico,5,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Reef Scientifico,5,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Reef Scientifico,5,NA,Caranx latus,Horse-eye Jack,Carangidae,35,0.0674,2.668,887.63
2017,Bachelor's Beach,5,NA,Anisotremus surinamensis,Black Margate,Haemulidae,33,0.0233,3.01,867.13
2015,Forest,2,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,36,0.0194,2.9779,836.21
2017,Calabas,1,NA,Holacanthus tricolour,Rock Beauty,Pomacanthidae,32,0.03388,2.91,812.70
2017,Windsock,1,NA,Caranx ruber,Bar Jack,Carangidae,36,0.0074,3.237,807.20
2017,18th Palm,1,NA,Caranx ruber,Bar Jack,Carangidae,36,0.0074,3.237,807.20
2017,18th Palm,1,NA,Caranx ruber,Bar Jack,Carangidae,36,0.0074,3.237,807.20
2017,Oil Slick Leap,7,NA,Caranx ruber,Bar Jack,Carangidae,36,0.0074,3.237,807.20
2017,Barcadera,5,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,38,0.0405,2.718,796.72
2015,No Dive Reserve,3,BlM,Anisotremus surinamensis,Black Margate,Haemulidae,32,0.0233,3.01,790.42
2017,18th Palm,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,32,0.0233,3.01,790.42
2015,Bachelor's Beach,1,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,14,0.0309,2.95,74.31
2015,Oil Slick Leap,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,14,0.0309,2.95,74.31
2015,No Dive Reserve,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,Calabas,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,Calabas,3,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,Calabas,3,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,Karpata,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,No Dive Reserve,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,No Dive Reserve,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,35,0.0194,2.9779,768.92
2017,Bachelor's Beach,5,NA,Caranx ruber,Bar Jack,Carangidae,35,0.0074,3.237,736.85
2017,Front Porch,2,NA,Caranx ruber,Bar Jack,Carangidae,35,0.0074,3.237,736.85
2017,Front Porch,2,NA,Caranx ruber,Bar Jack,Carangidae,35,0.0074,3.237,736.85
2017,Front Porch,3,NA,Caranx ruber,Bar Jack,Carangidae,35,0.0074,3.237,736.85
2015,Front Porch,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,34,0.0194,2.9779,705.33
2015,Forest,2,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,34,0.0194,2.9779,705.33
2015,Forest,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,34,0.0194,2.9779,705.33
2015,Reef Scientifico,1,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,34,0.0194,2.9779,705.33
2015,Calabas,4,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,36,0.0405,2.718,687.84
2015,Calabas,4,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,36,0.0405,2.718,687.84
2017,18th Palm,1,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2017,Forest,2,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2017,Barcadera,4,NA,Anisotremus surinamensis,Black Margate,Haemulidae,30,0.0233,3.01,650.86
2015,Karpata,4,Sch,Lutjanus apodus,Schoolmaster,Lutjanidae,33,0.0194,2.9779,645.33
2015,No Dive Reserve,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,33,0.0194,2.9779,645.33
2017,Bachelor's Beach,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,33,0.0194,2.9779,645.33
2017,Bachelor's Beach,7,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,35,0.0405,2.718,637.14
2017,Barcadera,1,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,35,0.0405,2.718,637.14
2015,Reef Scientifico,1,BlG,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,32,0.0194,2.9996,634.82
2017,Front Porch,4,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,32,0.0194,2.9996,634.82
2017,No Dive Reserve,4,NA,Aluterus scriptus,Scrawled Filefish,Monacanthidae,39,0.823,1.8136,632.35
2015,18th Palm,4,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,13,0.0309,2.95,59.72
2015,Calabas,5,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,13,0.0309,2.95,59.72
2017,Front Porch,2,NA,Synodus intermedius,Lizardfish,Synodontidae,40,0.0099,2.99,610.65
2017,Calabas,1,NA,Acanthostracion polygonia,Honeycomb Cowfish,Ostraciidae,34,0.02818,2.83,608.17
2015,No Dive Reserve,3,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2015,No Dive Reserve,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2015,No Dive Reserve,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Bachelor's Beach,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Calabas,3,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Front Porch,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Front Porch,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Forest,1,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Reef Scientifico,7,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,32,0.0194,2.9779,588.83
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Bachelor's Beach,7,NA,Carangoides bartholomaei,Yellow Jack,Carangidae,32,0.02188,2.93,562.52
2017,Calabas,1,NA,Cantherhines macrocerus,Whitespotted Filefish,Monacanthidae,32,0.0562,2.6534,553.99
2015,Reef Scientifico,3,BaJ,Caranx ruber,Bar Jack,Carangidae,32,0.0074,3.237,551.32
2017,Oil Slick Leap,1,NA,Caranx ruber,Bar Jack,Carangidae,32,0.0074,3.237,551.32
2017,18th Palm,2,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,33,0.0405,2.718,542.97
2015,Karpata,1,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,31,0.0194,2.9779,535.71
2015,No Dive Reserve,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,31,0.0194,2.9779,535.71
2015,Front Porch,2,BlM,Anisotremus surinamensis,Black Margate,Haemulidae,28,0.0233,3.01,528.81
2015,Oil Slick Leap,4,BlM,Anisotremus surinamensis,Black Margate,Haemulidae,28,0.0233,3.01,528.81
2017,Calabas,2,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,30,0.0194,2.9996,523.09
2017,Calabas,5,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,30,0.0194,2.9996,523.09
2015,Calabas,1,GrB,Cephalopholis cruentata,Grasby,Serranidae,32,0.0135,3.0439,515.06
2017,No Dive Reserve,3,NA,Pterois sp.,Lionfish,Scorpaenidae,32,0.01148,3.09,513.87
2015,Windsock,3,WhF,Cantherhines macrocerus,Whitespot Filefish,Monacanthidae,31,0.0562,2.6534,509.23
2017,Barcadera,7,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,32,0.0405,2.718,499.40
2017,No Dive Reserve,2,NA,Caranx ruber,Bar Jack,Carangidae,31,0.0074,3.237,497.47
2015,No Dive Reserve,1,Jack,Caranx latus,Horse-eye Jack,Carangidae,28,0.0674,2.668,489.42
2015,Forest,3,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2015,Reef Scientifico,1,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2015,Reef Scientifico,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2015,No Dive Reserve,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Bachelor's Beach,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Windsock,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Windsock,6,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Calabas,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Forest,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Forest,7,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Reef Scientifico,1,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,Reef Scientifico,3,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2017,No Dive Reserve,6,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,30,0.0194,2.9779,485.87
2015,Reef Scientifico,3,FrA,Pomacanthus paru,French Angelfish,Pomacanthidae,12,0.0309,2.95,47.16
2017,Bachelor's Beach,1,NA,Pomacanthus paru,French Angelfish,Pomacanthidae,12,0.0309,2.95,47.16
2015,Barcadera,4,BlG,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,29,0.0194,2.9996,472.51
2017,Front Porch,2,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,29,0.0194,2.9996,472.51
2017,Calabas,2,NA,Bodianus rufus,Spanish Hogfish,Labridae,30,0.0144,3.0532,465.92
2017,18th Palm,1,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,31,0.0405,2.718,458.12
2017,Oil Slick Leap,3,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,31,0.0405,2.718,458.12
2015,Windsock,5,BaJ,Caranx ruber,Bar Jack,Carangidae,30,0.0074,3.237,447.38
2015,Forest,2,BaJ,Caranx ruber,Bar Jack,Carangidae,30,0.0074,3.237,447.38
2015,No Dive Reserve,2,BaJ,Caranx ruber,Bar Jack,Carangidae,30,0.0074,3.237,447.38
2017,Calabas,5,NA,Caranx ruber,Bar Jack,Carangidae,30,0.0074,3.237,447.38
2017,Reef Scientifico,7,NA,Caranx ruber,Bar Jack,Carangidae,30,0.0074,3.237,447.38
2015,Karpata,4,Sch,Lutjanus apodus,Schoolmaster,Lutjanidae,29,0.0194,2.9779,439.21
2015,No Dive Reserve,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,29,0.0194,2.9779,439.21
2017,Windsock,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,29,0.0194,2.9779,439.21
2017,18th Palm,3,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,29,0.0194,2.9779,439.21
2017,Calabas,1,NA,Myripristis jacobus ,Blackbar soldierfish,Holocentridae,21,0.111,2.72,438.29
2015,18th Palm,2,Seel,Myrichthys breviceps,Sharptail Eel,Ophichthidae,75,0.0015,2.91,431.92
2017,Oil Slick Leap,7,NA,Diodon hystrix,Porcupinefish,Diodontidae,22,0.06607,2.84,429.03
2015,Calabas,5,CoN,Cephalopholis fulva,Coney,Serranidae,29,0.0175,3,426.81
2015,Front Porch,1,BlG,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,28,0.0194,2.9996,425.30
2017,Bachelor's Beach,2,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,28,0.0194,2.9996,425.30
2017,Bachelor's Beach,7,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,28,0.0194,2.9996,425.30
2017,Front Porch,2,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,28,0.0194,2.9996,425.30
2017,Front Porch,2,NA,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,28,0.0194,2.9996,425.30
2015,No Dive Reserve,1,Lion,Pterois sp.,Lionfish,Scorpaenidae,30,0.0115,3.09,420.97
2015,Bachelor's Beach,2,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2015,Bachelor's Beach,2,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2015,Forest,2,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2015,Forest,2,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2015,Reef Scientifico,3,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2015,Reef Scientifico,3,YtS,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2017,Bachelor's Beach,5,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2017,Windsock,6,NA,Ocyurus chrysurus,Yellowtail Snapper,Lutjanidae,30,0.0405,2.718,419.05
2017,Reef Scientifico,4,NA,Caranx ruber,Bar Jack,Carangidae,29,0.0074,3.237,400.88
2017,Reef Scientifico,4,NA,Caranx ruber,Bar Jack,Carangidae,29,0.0074,3.237,400.88
2015,Bachelor's Beach,2,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,28,0.0194,2.9779,395.63
2015,Forest,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,28,0.0194,2.9779,395.63
2015,Forest,5,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,28,0.0194,2.9779,395.63
2015,No Dive Reserve,3,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,28,0.0194,2.9779,395.63
2017,Front Porch,2,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,28,0.0194,2.9779,395.63
2017,Forest,5,NA,Lutjanus apodus,Schoolmaster,Lutjanidae,28,0.0194,2.9779,395.63
2017,Bachelor's Beach,1,NA,Aluterus scriptus,Scrawled Filefish,Monacanthidae,30,0.823,1.8136,392.92
2017,Oil Slick Leap,1,NA,Aluterus scriptus,Scrawled Filefish,Monacanthidae,30,0.823,1.8136,392.92
