Date,Site,Transect,Code,Species,length (cm),Phase,a,b,Biomass,Family
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,4,j,-4.8887,3.0548,1.012215216,Scaridae
2011,Bachelor's Beach,2,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Bachelor's Beach,2,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,2,rdp,Sparisoma aurofrenatum,20,i,-4.0781,2.7438,171.9753104,Scaridae
2011,Bachelor's Beach,2,rdp,Sparisoma aurofrenatum,20,i,-4.0781,2.7438,171.9753104,Scaridae
2011,Bachelor's Beach,2,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Bachelor's Beach,2,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,3,blt,Acanthurus coeruleus,20,,-2.8242,2.2638,242.5893351,Acanthuridae
2011,Bachelor's Beach,3,strp,Scarus iseri,13,j,-4.8887,3.0548,37.06586611,Scaridae
2011,Bachelor's Beach,3,strp,Scarus iseri,20,t,-4.8887,3.0548,138.1931228,Scaridae
2011,Bachelor's Beach,3,prp,Scarus taeniopterus,18,i,-3.2257,2.3852,142.4216389,Scaridae
2011,Bachelor's Beach,3,prp,Scarus taeniopterus,19,i,-3.2257,2.3852,162.025395,Scaridae
2011,Bachelor's Beach,3,prp,Scarus taeniopterus,22,i,-3.2257,2.3852,229.8510957,Scaridae
2011,Bachelor's Beach,3,prp,Scarus taeniopterus,23,i,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,3,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,3,qup,Scarus vetula,25,i,-5.0162,3.1109,277.684458,Scaridae
2011,Bachelor's Beach,3,qup,Scarus vetula,27,i,-5.0162,3.1109,352.8007778,Scaridae
2011,Bachelor's Beach,3,rdp,Sparisoma aurofrenatum,18,i,-4.0781,2.7438,128.8002481,Scaridae
2011,Bachelor's Beach,3,stop,Sparisoma viride,28,i,-4.4317,2.9051,475.925305,Scaridae
2011,Bachelor's Beach,3,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Bachelor's Beach,3,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,4,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,4,ytd,Microspathodon chrysurus,13,,-4.7033,3.0825,65.00254842,Pomacentridae
2011,Bachelor's Beach,4,strp,Scarus iseri,15,i,-4.8887,3.0548,57.38832884,Scaridae
2011,Bachelor's Beach,4,strp,Scarus iseri,18,i,-4.8887,3.0548,100.1627982,Scaridae
2011,Bachelor's Beach,4,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Bachelor's Beach,4,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,4,qup,Scarus vetula,32,i,-5.0162,3.1109,598.5095266,Scaridae
2011,Bachelor's Beach,4,qup,Scarus vetula,32,i,-5.0162,3.1109,598.5095266,Scaridae
2011,Bachelor's Beach,4,rdp,Sparisoma aurofrenatum,20,t,-4.0781,2.7438,171.9753104,Scaridae
2011,Bachelor's Beach,4,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Bachelor's Beach,5,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Bachelor's Beach,5,ytd,Microspathodon chrysurus,13,,-4.7033,3.0825,65.00254842,Pomacentridae
2011,Bachelor's Beach,5,ytd,Microspathodon chrysurus,13,,-4.7033,3.0825,65.00254842,Pomacentridae
2011,Bachelor's Beach,5,strp,Scarus iseri,16,i,-4.8887,3.0548,69.89493784,Scaridae
2011,Bachelor's Beach,5,qup,Scarus vetula,20,i,-5.0162,3.1109,138.6992822,Scaridae
2011,Bachelor's Beach,5,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Bachelor's Beach,5,stop,Sparisoma viride,10,i,-4.4317,2.9051,23.90561935,Scaridae
2011,Bachelor's Beach,5,stop,Sparisoma viride,26,i,-4.4317,2.9051,383.7417689,Scaridae
2011,Bachelor's Beach,5,stop,Sparisoma viride,27,i,-4.4317,2.9051,428.2080932,Scaridae
2011,Bachelor's Beach,5,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,6,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,6,blt,Acanthurus coeruleus,17,,-2.8242,2.2638,167.9152994,Acanthuridae
2011,Bachelor's Beach,6,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Bachelor's Beach,6,ytd,Microspathodon chrysurus,18,,-4.7033,3.0825,177.2464301,Pomacentridae
2011,Bachelor's Beach,6,prp,Scarus taeniopterus,18,i,-3.2257,2.3852,142.4216389,Scaridae
2011,Bachelor's Beach,6,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Bachelor's Beach,6,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Bachelor's Beach,6,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Bachelor's Beach,6,prp,Scarus taeniopterus,22,i,-3.2257,2.3852,229.8510957,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,32,i,-5.0162,3.1109,598.5095266,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,27,t,-5.0162,3.1109,352.8007778,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,27,t,-5.0162,3.1109,352.8007778,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,27,t,-5.0162,3.1109,352.8007778,Scaridae
2011,Bachelor's Beach,6,qup,Scarus vetula,27,t,-5.0162,3.1109,352.8007778,Scaridae
2011,Bachelor's Beach,6,rdp,Sparisoma aurofrenatum,15,t,-4.0781,2.7438,78.10146793,Scaridae
2011,Bachelor's Beach,6,rdp,Sparisoma aurofrenatum,20,t,-4.0781,2.7438,171.9753104,Scaridae
2011,Bachelor's Beach,6,stop,Sparisoma viride,12,i,-4.4317,2.9051,40.60031825,Scaridae
2011,Bachelor's Beach,6,stop,Sparisoma viride,25,i,-4.4317,2.9051,342.4171586,Scaridae
2011,Bachelor's Beach,6,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Bachelor's Beach,6,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Bachelor's Beach,7,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,7,blt,Acanthurus coeruleus,17,,-2.8242,2.2638,167.9152994,Acanthuridae
2011,Bachelor's Beach,7,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Bachelor's Beach,7,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Bachelor's Beach,7,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Bachelor's Beach,7,ytd,Microspathodon chrysurus,15,,-4.7033,3.0825,101.0418539,Pomacentridae
2011,Bachelor's Beach,7,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Bachelor's Beach,7,prp,Scarus taeniopterus,18,i,-3.2257,2.3852,142.4216389,Scaridae
2011,Bachelor's Beach,7,prp,Scarus taeniopterus,19,i,-3.2257,2.3852,162.025395,Scaridae
2011,Bachelor's Beach,7,qup,Scarus vetula,12,i,-5.0162,3.1109,28.30902672,Scaridae
2011,Bachelor's Beach,7,qup,Scarus vetula,32,t,-5.0162,3.1109,598.5095266,Scaridae
2011,Bachelor's Beach,7,stop,Sparisoma viride,23,i,-4.4317,2.9051,268.7543711,Scaridae
2011,Bachelor's Beach,7,stop,Sparisoma viride,28,i,-4.4317,2.9051,475.925305,Scaridae
2011,Bachelor's Beach,7,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,7,stop,Sparisoma viride,33,t,-4.4317,2.9051,767.069733,Scaridae
2011,Bachelor's Beach,8,ocs,Acanthurus bahianus,17,,-4.6005,2.9752,108.5254589,Acanthuridae
2011,Bachelor's Beach,8,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,8,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Bachelor's Beach,8,dcf,Acanthurus chirurgus,20,,-2.4262,2.0768,225.205553,Acanthuridae
2011,Bachelor's Beach,8,blt,Acanthurus coeruleus,17,,-2.8242,2.2638,167.9152994,Acanthuridae
2011,Bachelor's Beach,8,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Bachelor's Beach,8,blt,Acanthurus coeruleus,20,,-2.8242,2.2638,242.5893351,Acanthuridae
2011,Bachelor's Beach,8,ytd,Microspathodon chrysurus,13,,-4.7033,3.0825,65.00254842,Pomacentridae
2011,Bachelor's Beach,8,ytd,Microspathodon chrysurus,15,,-4.7033,3.0825,101.0418539,Pomacentridae
2011,Bachelor's Beach,8,strp,Scarus iseri,20,i,-4.8887,3.0548,138.1931228,Scaridae
2011,Bachelor's Beach,8,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Bachelor's Beach,8,prp,Scarus taeniopterus,10,j,-3.2257,2.3852,35.05096668,Scaridae
2011,Bachelor's Beach,8,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,8,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,8,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Bachelor's Beach,8,prp,Scarus taeniopterus,25,t,-3.2257,2.3852,311.7931062,Scaridae
2011,Bachelor's Beach,8,qup,Scarus vetula,28,i,-5.0162,3.1109,395.0607826,Scaridae
2011,Bachelor's Beach,8,qup,Scarus vetula,10,j,-5.0162,3.1109,16.05461887,Scaridae
2011,Bachelor's Beach,8,qup,Scarus vetula,33,t,-5.0162,3.1109,658.6353186,Scaridae
2011,Bachelor's Beach,8,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Bachelor's Beach,8,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Bachelor's Beach,8,rdp,Sparisoma aurofrenatum,20,i,-4.0781,2.7438,171.9753104,Scaridae
2011,Bachelor's Beach,8,rdp,Sparisoma aurofrenatum,20,i,-4.0781,2.7438,171.9753104,Scaridae
2011,Bachelor's Beach,8,rdp,Sparisoma aurofrenatum,23,t,-4.0781,2.7438,252.3532118,Scaridae
2011,Bachelor's Beach,8,stop,Sparisoma viride,23,i,-4.4317,2.9051,268.7543711,Scaridae
2011,Bachelor's Beach,8,stop,Sparisoma viride,32,i,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,8,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,8,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Bachelor's Beach,8,ytp,Sparisoma rubripinne,15,t,-4.8701,3.0641,62.75686304,Scaridae
2011,Bachelor's Beach,8,ytp,Sparisoma rubripinne,22,t,-4.8701,3.0641,202.9164876,Scaridae
2011,Bachelor's Beach,8,ytp,Sparisoma rubripinne,22,t,-4.8701,3.0641,202.9164876,Scaridae
2011,Bachelor's Beach,8,ytp,Sparisoma rubripinne,25,t,-4.8701,3.0641,300.2119536,Scaridae
2011,Barcadera,1,ytd,Microspathodon chrysurus,17,,-4.7033,3.0825,148.613684,Pomacentridae
2011,Barcadera,1,strp,Scarus iseri,27,t,-4.8887,3.0548,345.6447993,Scaridae
2011,Barcadera,1,qup,Scarus vetula,26,i,-5.0162,3.1109,313.7188311,Scaridae
2011,Barcadera,1,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Barcadera,1,qup,Scarus vetula,36,t,-5.0162,3.1109,863.3789375,Scaridae
2011,Barcadera,1,rdp,Sparisoma aurofrenatum,22,t,-4.0781,2.7438,223.3774617,Scaridae
2011,Barcadera,1,rdp,Sparisoma aurofrenatum,23,t,-4.0781,2.7438,252.3532118,Scaridae
2011,Barcadera,1,stop,Sparisoma viride,23,i,-4.4317,2.9051,268.7543711,Scaridae
2011,Barcadera,1,stop,Sparisoma viride,25,i,-4.4317,2.9051,342.4171586,Scaridae
2011,Barcadera,2,ytd,Microspathodon chrysurus,13,,-4.7033,3.0825,65.00254842,Pomacentridae
2011,Barcadera,2,ytd,Microspathodon chrysurus,18,,-4.7033,3.0825,177.2464301,Pomacentridae
2011,Barcadera,2,prp,Scarus taeniopterus,24,t,-3.2257,2.3852,282.8654168,Scaridae
2011,Barcadera,2,qup,Scarus vetula,32,i,-5.0162,3.1109,598.5095266,Scaridae
2011,Barcadera,2,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Barcadera,2,stop,Sparisoma viride,28,i,-4.4317,2.9051,475.925305,Scaridae
2011,Barcadera,2,stop,Sparisoma viride,28,i,-4.4317,2.9051,475.925305,Scaridae
2011,Barcadera,2,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Barcadera,3,ytd,Microspathodon chrysurus,15,,-4.7033,3.0825,101.0418539,Pomacentridae
2011,Barcadera,3,ytd,Microspathodon chrysurus,18,,-4.7033,3.0825,177.2464301,Pomacentridae
2011,Barcadera,3,strp,Scarus iseri,20,t,-4.8887,3.0548,138.1931228,Scaridae
2011,Barcadera,3,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Barcadera,3,strp,Scarus iseri,25,t,-4.8887,3.0548,273.2292176,Scaridae
2011,Barcadera,3,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Barcadera,3,prp,Scarus taeniopterus,10,j,-3.2257,2.3852,35.05096668,Scaridae
2011,Barcadera,3,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Barcadera,3,qup,Scarus vetula,26,i,-5.0162,3.1109,313.7188311,Scaridae
2011,Barcadera,3,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Barcadera,3,stop,Sparisoma viride,25,i,-4.4317,2.9051,342.4171586,Scaridae
2011,Barcadera,3,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,4,blt,Acanthurus coeruleus,17,,-2.8242,2.2638,167.9152994,Acanthuridae
2011,Barcadera,4,ytd,Microspathodon chrysurus,13,,-4.7033,3.0825,65.00254842,Pomacentridae
2011,Barcadera,4,prp,Scarus taeniopterus,12,i,-3.2257,2.3852,54.14559221,Scaridae
2011,Barcadera,4,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Barcadera,4,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Barcadera,4,prp,Scarus taeniopterus,24,t,-3.2257,2.3852,282.8654168,Scaridae
2011,Barcadera,4,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Barcadera,4,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Barcadera,4,rdp,Sparisoma aurofrenatum,18,i,-4.0781,2.7438,128.8002481,Scaridae
2011,Barcadera,4,stop,Sparisoma viride,28,i,-4.4317,2.9051,475.925305,Scaridae
2011,Barcadera,4,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,5,ytd,Microspathodon chrysurus,12,,-4.7033,3.0825,50.78976354,Pomacentridae
2011,Barcadera,5,ytd,Microspathodon chrysurus,15,,-4.7033,3.0825,101.0418539,Pomacentridae
2011,Barcadera,5,strp,Scarus iseri,22,t,-4.8887,3.0548,184.898252,Scaridae
2011,Barcadera,5,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Barcadera,5,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Barcadera,5,qup,Scarus vetula,27,i,-5.0162,3.1109,352.8007778,Scaridae
2011,Barcadera,5,qup,Scarus vetula,34,t,-5.0162,3.1109,722.7327969,Scaridae
2011,Barcadera,5,qup,Scarus vetula,35,t,-5.0162,3.1109,790.9358834,Scaridae
2011,Barcadera,5,qup,Scarus vetula,37,t,-5.0162,3.1109,940.1967452,Scaridae
2011,Barcadera,5,stop,Sparisoma viride,28,i,-4.4317,2.9051,475.925305,Scaridae
2011,Barcadera,5,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,5,stop,Sparisoma viride,33,t,-4.4317,2.9051,767.069733,Scaridae
2011,Barcadera,6,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Barcadera,6,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Barcadera,6,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Barcadera,6,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Barcadera,6,prp,Scarus taeniopterus,28,i,-3.2257,2.3852,408.5651661,Scaridae
2011,Barcadera,6,prp,Scarus taeniopterus,10,j,-3.2257,2.3852,35.05096668,Scaridae
2011,Barcadera,6,prp,Scarus taeniopterus,12,j,-3.2257,2.3852,54.14559221,Scaridae
2011,Barcadera,6,prp,Scarus taeniopterus,24,t,-3.2257,2.3852,282.8654168,Scaridae
2011,Barcadera,6,qup,Scarus vetula,25,i,-5.0162,3.1109,277.684458,Scaridae
2011,Barcadera,6,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Barcadera,6,rdp,Sparisoma aurofrenatum,18,i,-4.0781,2.7438,128.8002481,Scaridae
2011,Barcadera,6,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Barcadera,6,stop,Sparisoma viride,31,i,-4.4317,2.9051,639.668341,Scaridae
2011,Barcadera,6,stop,Sparisoma viride,32,i,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,7,ocs,Acanthurus bahianus,17,,-4.6005,2.9752,108.5254589,Acanthuridae
2011,Barcadera,7,ocs,Acanthurus bahianus,17,,-4.6005,2.9752,108.5254589,Acanthuridae
2011,Barcadera,7,ytd,Microspathodon chrysurus,17,,-4.7033,3.0825,148.613684,Pomacentridae
2011,Barcadera,7,strp,Scarus iseri,22,t,-4.8887,3.0548,184.898252,Scaridae
2011,Barcadera,7,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Barcadera,7,qup,Scarus vetula,22,i,-5.0162,3.1109,186.5703893,Scaridae
2011,Barcadera,7,qup,Scarus vetula,32,i,-5.0162,3.1109,598.5095266,Scaridae
2011,Barcadera,7,rdp,Sparisoma aurofrenatum,18,i,-4.0781,2.7438,128.8002481,Scaridae
2011,Barcadera,7,stop,Sparisoma viride,31,i,-4.4317,2.9051,639.668341,Scaridae
2011,Barcadera,7,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,7,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,7,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,8,ocs,Acanthurus bahianus,18,,-4.6005,2.9752,128.6431771,Acanthuridae
2011,Barcadera,8,blt,Acanthurus coeruleus,17,,-2.8242,2.2638,167.9152994,Acanthuridae
2011,Barcadera,8,blt,Acanthurus coeruleus,17,,-2.8242,2.2638,167.9152994,Acanthuridae
2011,Barcadera,8,ytd,Microspathodon chrysurus,15,,-4.7033,3.0825,101.0418539,Pomacentridae
2011,Barcadera,8,ytd,Microspathodon chrysurus,15,,-4.7033,3.0825,101.0418539,Pomacentridae
2011,Barcadera,8,ytd,Microspathodon chrysurus,17,,-4.7033,3.0825,148.613684,Pomacentridae
2011,Barcadera,8,strp,Scarus iseri,23,t,-4.8887,3.0548,211.7903624,Scaridae
2011,Barcadera,8,prp,Scarus taeniopterus,23,t,-3.2257,2.3852,255.5602089,Scaridae
2011,Barcadera,8,qup,Scarus vetula,28,i,-5.0162,3.1109,395.0607826,Scaridae
2011,Barcadera,8,qup,Scarus vetula,30,i,-5.0162,3.1109,489.6395739,Scaridae
2011,Barcadera,8,rdp,Sparisoma aurofrenatum,20,i,-4.0781,2.7438,171.9753104,Scaridae
2011,Barcadera,8,stop,Sparisoma viride,30,i,-4.4317,2.9051,581.547184,Scaridae
2011,Barcadera,8,stop,Sparisoma viride,31,i,-4.4317,2.9051,639.668341,Scaridae
2011,Barcadera,8,stop,Sparisoma viride,32,i,-4.4317,2.9051,701.4733917,Scaridae
2011,Barcadera,8,stop,Sparisoma viride,32,t,-4.4317,2.9051,701.4733917,Scaridae
2011,Calabas,1,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Calabas,1,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Calabas,1,blt,Acanthurus coeruleus,20,,-2.8242,2.2638,242.5893351,Acanthuridae
2011,Calabas,1,blt,Acanthurus coeruleus,23,,-2.8242,2.2638,332.8736937,Acanthuridae
2011,Calabas,1,prp,Scarus taeniopterus,13,i,-3.2257,2.3852,65.53566097,Scaridae
2011,Calabas,1,prp,Scarus taeniopterus,19,i,-3.2257,2.3852,162.025395,Scaridae
2011,Calabas,1,prp,Scarus taeniopterus,19,i,-3.2257,2.3852,162.025395,Scaridae
2011,Calabas,1,prp,Scarus taeniopterus,21,i,-3.2257,2.3852,205.7109746,Scaridae
2011,Calabas,1,prp,Scarus taeniopterus,23,i,-3.2257,2.3852,255.5602089,Scaridae
2011,Calabas,1,prp,Scarus taeniopterus,23,i,-3.2257,2.3852,255.5602089,Scaridae
2011,Calabas,1,prp,Scarus taeniopterus,22,t,-3.2257,2.3852,229.8510957,Scaridae
2011,Calabas,1,qup,Scarus vetula,12,j,-5.0162,3.1109,28.30902672,Scaridae
2011,Calabas,1,rdp,Sparisoma aurofrenatum,23,t,-4.0781,2.7438,252.3532118,Scaridae
2011,Calabas,2,ocs,Acanthurus bahianus,15,,-4.6005,2.9752,74.78365961,Acanthuridae
2011,Calabas,2,ocs,Acanthurus bahianus,20,,-4.6005,2.9752,176.0047721,Acanthuridae
2011,Calabas,2,ocs,Acanthurus bahianus,23,,-4.6005,2.9752,266.7550548,Acanthuridae
2011,Calabas,2,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Calabas,2,blt,Acanthurus coeruleus,18,,-2.8242,2.2638,191.1110933,Acanthuridae
2011,Calabas,2,blt,Acanthurus coeruleus,20,,-2.8242,2.2638,242.5893351,Acanthuridae
2011,Calabas,2,prp,Scarus taeniopterus,19,i,-3.2257,2.3852,162.025395,Scaridae
2011,Calabas,2,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Calabas,2,prp,Scarus taeniopterus,20,i,-3.2257,2.3852,183.1119745,Scaridae
2011,Calabas,2,qup,Scarus vetula,23,i,-5.0162,3.1109,214.2392923,Scaridae
2011,Calabas,2,qup,Scarus vetula,31,i,-5.0162,3.1109,542.2219485,Scaridae
2011,Calabas,2,qup,Scarus vetula,38,t,-5.0162,3.1109,1021.524508,Scaridae
2011,Calabas,2,rdp,Sparisoma aurofrenatum,22,i,-4.0781,2.7438,223.3774617,Scaridae
2011,Calabas,2,stop,Sparisoma viride,26,i,-4.4317,2.9051,383.7417689,Scaridae
2011,Calabas,2,stop,Sparisoma viride,33,i,-4.4317,2.9051,767.069733,Scaridae
2011,Calabas,2,stop,Sparisoma viride,33,t,-4.4317,2.9051,767.069733,Scaridae
2011,Calabas,3,blt,Acanthurus coeruleus,22,,-2.8242,2.2638,301.0069095,Acanthuridae
2011,Calabas,3,strp,Scarus iseri,13,j,-4.8887,3.0548,37.06586611,Scaridae
2011,Calabas,3,prp,Scarus taeniopterus,10,i,-3.2257,2.3852,35.05096668,Scaridae
2011,Calabas,3,prp,Scarus taeniopterus,22,i,-3.2257,2.3852,229.8510957,Scaridae
2011,Calabas,3,prp,Scarus taeniopterus,23,i,-3.2257,2.3852,255.5602089,Scaridae
