Diver,Date,Site,Management,Dive number,Transect number,Species Code,Common name,Species,Functional Feeding Group,Family,Length (cm),Number,Phase,a,b,weight (g),num x weight (g)
REB,3/5/17,Calabas,FPA,1,1,lsq,Longspine Squirrelfish,Holocentrus rufus,Carnivores,Holocentridae,23,1,,0.01148,2.89,98.93166863,98.93166863
REB,3/5/17,Calabas,FPA,1,1,trum,Atlantic trumpetfish,Aulostomus maculatus,Carnivores,Aulostomidae,40,1,,0.0001,3.554,49.39934712,49.39934712
REB,3/5/17,Calabas,FPA,1,1,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,19,1,T,0.01072,3.12,104.6901978,104.6901978
REB,3/5/17,Calabas,FPA,1,1,PuD,Puddingwife,Halichoeres radiatus,Carnivores,Labridae,23,1,T,0.0131,3.038,179.556223,179.556223
REB,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,20,2,T,0.01096,3.01,90.34639772,180.6927954
REB,3/5/17,Calabas,FPA,1,1,rkb,Rock Beauty,Holacanthus tricolour,Omnivores,Pomacanthidae,15,1,,0.03388,2.91,89.61257678,89.61257678
REB,3/5/17,Calabas,FPA,1,2,OcS,Ocean Surgeonfish,Acanthurus bahianus,Herbivores,Acanthuridae,17,2,,0.01862,2.91,70.89017327,141.7803465
REB,3/5/17,Calabas,FPA,1,2,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,22,1,T,0.0335,2.7086,144.9208526,144.9208526
REB,3/5/17,Calabas,FPA,1,2,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,18,2,I,0.0138,3.04,90.34570307,180.6914061
REB,3/5/17,Calabas,FPA,1,2,BdB,Banded Butterflyfish,Chaetodan striatus,Carnivores,Chaetodontidae,6,2,,0.02239,3.03,5.103315076,10.20663015
REB,3/5/17,Calabas,FPA,1,2,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,5,25,,0.01479,2.98,1.790188599,44.75471497
REB,3/5/17,Calabas,FPA,1,2,DcF,Doctorfish,Acanthurus chirurgus,Herbivores,Acanthuridae,12,1,,0.02089,2.96,32.6824743,32.6824743
REB,3/5/17,Calabas,FPA,1,2,GtF,Goatfish,Mulloidichthys martinicus,Carnivores,Mullidae,16,1,,0.00977,3.12,55.81474046,55.81474046
REB,3/5/17,Calabas,FPA,1,2,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,14,1,I,0.01096,3.01,30.87848196,30.87848196
REB,3/5/17,Calabas,FPA,1,2,Sgm,Sergeant Major,Abudefduf saxatilis,Carnivores,Pomacentridae,7,1,,0.0182,3.05,6.880506509,6.880506509
REB,3/5/17,Calabas,FPA,1,2,BlT,Blue Tang,Acanthurus coeruleus,Herbivores,Acanthuridae,10,12,,0.02512,2.96,22.90971228,274.9165474
REB,3/5/17,Calabas,FPA,1,2,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,21,1,I,0.0138,3.04,144.3529762,144.3529762
REB,3/5/17,Calabas,FPA,1,2,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,5,75,,0.01479,2.98,1.790188599,134.2641449
REB,3/5/17,Calabas,FPA,1,2,trum,Atlantic trumpetfish,Aulostomus maculatus,Carnivores,Aulostomidae,22,1,,0.0001,3.554,5.901605941,5.901605941
REB,3/5/17,Calabas,FPA,1,2,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,22,1,T,0.0138,3.04,166.2815393,166.2815393
REB,3/5/17,Calabas,FPA,1,2,QuP,Queen Parrotfish,Scarus vetula,Herbivores,Scaridae,18,1,I,0.0138,3.03,87.77175393,87.77175393
REB,3/5/17,Calabas,FPA,1,2,roh,Rock Hind,Epinephelus ascensionis,Carnivores,Serranidae,16,2,,0.01349,3.09,70.91574931,141.8314986
REB,3/5/17,Calabas,FPA,1,2,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,14,1,T,0.01072,3.12,40.37516003,40.37516003
REB,3/5/17,Calabas,FPA,1,3,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,18,2,I,0.0138,3.04,90.34570307,180.6914061
REB,3/5/17,Calabas,FPA,1,3,BlC,Blue Chromis,Chromis cyanea,Planktivore,Pomacentridae,7,2,,0.01479,2.98,4.879331593,9.758663187
REB,3/5/17,Calabas,FPA,1,3,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,28,1,T,0.0138,3.04,346.1302067,346.1302067
REB,3/5/17,Calabas,FPA,1,3,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,7,25,,0.01479,2.98,4.879331593,121.9832898
REB,3/5/17,Calabas,FPA,1,3,SqF,Squirrel Fish,Holocentrus adsensionis,Carnivores,Holocentridae,12,6,,0.01585,2.97,25.42128897,152.5277338
REB,3/5/17,Calabas,FPA,1,3,rkb,Rock Beauty,Holacanthus tricolour,Omnivores,Pomacanthidae,22,1,,0.03388,2.91,273.145093,273.145093
REB,3/5/17,Calabas,FPA,1,3,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,15,1,I,0.0138,3.04,51.90348439,51.90348439
REB,3/5/17,Calabas,FPA,1,3,GtF,Goatfish,Mulloidichthys martinicus,Carnivores,Mullidae,12,1,,0.00977,3.12,22.74783405,22.74783405
REB,3/5/17,Calabas,FPA,1,3,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Carnivores,Haemulidae,17,1,,0.01259,2.99,60.12678811,60.12678811
REB,3/5/17,Calabas,FPA,1,3,DcF,Doctorfish,Acanthurus chirurgus,Herbivores,Acanthuridae,15,4,,0.02089,2.96,63.2657363,253.0629452
REB,3/5/17,Calabas,FPA,1,3,rkb,Rock Beauty,Holacanthus tricolour,Omnivores,Pomacanthidae,23,1,,0.03388,2.91,310.8646969,310.8646969
REB,3/5/17,Calabas,FPA,1,3,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,6,120,,0.01479,2.98,3.082186402,369.8623683
REB,3/5/17,Calabas,FPA,1,3,trum,Atlantic trumpetfish,Aulostomus maculatus,Carnivores,Aulostomidae,25,1,,0.0001,3.554,9.295629185,9.295629185
REB,3/5/17,Calabas,FPA,1,3,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,22,1,I,0.0138,3.04,166.2815393,166.2815393
REB,3/5/17,Calabas,FPA,1,3,BlC,Blue Chromis,Chromis cyanea,Planktivore,Pomacentridae,6,1,,0.01479,2.98,3.082186402,3.082186402
REB,3/5/17,Calabas,FPA,1,3,QuA,Queen Angelfish,Holacanthus ciliaris,Omnivores,Pomacanthidae,11,1,,0.0309,2.89,31.59245238,31.59245238
REB,3/5/17,Calabas,FPA,1,3,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,24,1,T,0.0335,2.7086,183.4361709,183.4361709
REB,3/5/17,Calabas,FPA,1,3,BgD,Beaugregory,Stegastes leucostictus,Omnivores,Pomacentridae,7,1,,0.01995,2.95,6.208434707,6.208434707
REB,3/5/17,Calabas,FPA,1,3,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,12,1,I,0.0138,3.04,26.33844157,26.33844157
REB,3/5/17,Calabas,FPA,1,3,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,24,1,T,0.0335,2.7086,183.4361709,183.4361709
REB,3/5/17,Calabas,FPA,1,3,BlP,Blue Parrotfish,Scarus coeruleus,Herbivores,Scaridae,14,1,I,0.01318,3.04,40.19246467,40.19246467
REB,3/5/17,Calabas,FPA,1,3,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,20,1,T,0.0335,2.7086,111.9475654,111.9475654
REB,3/5/17,Calabas,FPA,1,3,BlT,Blue Tang,Acanthurus coeruleus,Herbivores,Acanthuridae,6,2,,0.02512,2.96,5.050650726,10.10130145
REB,3/5/17,Calabas,FPA,1,3,OcS,Ocean Surgeonfish,Acanthurus bahianus,Herbivores,Acanthuridae,12,2,,0.01862,2.91,25.72747131,51.45494263
REB,3/5/17,Calabas,FPA,1,3,BlG,Blue Stripped Grunt,Haemulon sciurus,Carnivores,Haemulidae,13,1,,0.01549,2.98,32.32976945,32.32976945
REB,3/5/17,Calabas,FPA,1,3,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,12,1,,0.01479,2.95,22.57110649,22.57110649
REB,3/5/17,Calabas,FPA,1,3,CsG,Caesar Grunt,Haemulon carbonarium,Carnivores,Haemulidae,18,2,,0.01738,2.98,95.66692997,191.3338599
REB,3/5/17,Calabas,FPA,1,3,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,22,1,,0.01479,2.95,134.9320388,134.9320388
REB,3/5/17,Calabas,FPA,1,3,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,45,1,,0.01479,2.95,1114.153656,1114.153656
REB,3/5/17,Calabas,FPA,1,4,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,14,1,I,0.0138,3.04,42.08315725,42.08315725
REB,3/5/17,Calabas,FPA,1,4,OcS,Ocean Surgeonfish,Acanthurus bahianus,Herbivores,Acanthuridae,16,1,,0.01862,2.91,59.42495016,59.42495016
REB,3/5/17,Calabas,FPA,1,4,SpH,Spanish Hogfish,Bodianus rufus,Carnivores,Labridae,18,1,,0.0144,3.0532,97.94009133,97.94009133
REB,3/5/17,Calabas,FPA,1,4,DcF,Doctorfish,Acanthurus chirurgus,Herbivores,Acanthuridae,14,1,,0.02089,2.96,51.57953536,51.57953536
REB,3/5/17,Calabas,FPA,1,4,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,26,1,T,0.0335,2.7086,227.8461095,227.8461095
REB,3/5/17,Calabas,FPA,1,4,SqF,Squirrel Fish,Holocentrus adsensionis,Carnivores,Holocentridae,10,6,,0.01585,2.97,14.79208067,88.75248401
REB,3/5/17,Calabas,FPA,1,4,CsG,Caesar Grunt,Haemulon carbonarium,Carnivores,Haemulidae,21,1,,0.01738,2.98,151.4479051,151.4479051
REB,3/5/17,Calabas,FPA,1,4,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,32,1,,0.01479,2.95,407.5309623,407.5309623
REB,3/5/17,Calabas,FPA,1,4,DcF,Doctorfish,Acanthurus chirurgus,Herbivores,Acanthuridae,18,1,,0.02089,2.96,108.5288135,108.5288135
REB,3/5/17,Calabas,FPA,1,4,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,26,1,T,0.0335,2.7086,227.8461095,227.8461095
REB,3/5/17,Calabas,FPA,1,4,mgs,Mahogany Snapper,Lutjanus mahogoni,Carnivores,Lutjanidae,14,1,,0.01698,2.96,41.92534755,41.92534755
REB,3/5/17,Calabas,FPA,1,4,FrA,French Angelfish,Pomacanthus paru,Carnivores,Pomacanthidae,21,1,,0.0309,2.95,245.7567182,245.7567182
REB,3/5/17,Calabas,FPA,1,4,Stop,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,18,1,T,0.0138,3.04,90.34570307,90.34570307
REB,3/5/17,Calabas,FPA,1,4,prp,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,14,1,T,0.0335,2.7086,42.60368888,42.60368888
REB,3/5/17,Calabas,FPA,1,4,Inl,Inshore Lizardfish,Synodus foetens,Carnivores,Synodontidae,22,1,,0.0038,3.21,77.43911874,77.43911874
REB,3/5/17,Calabas,FPA,1,4,BlT,Blue Tang,Acanthurus coeruleus,Herbivores,Acanthuridae,14,1,,0.02512,2.96,62.02383572,62.02383572
REB,3/5/17,Calabas,FPA,1,4,OcS,Ocean Surgeonfish,Acanthurus bahianus,Herbivores,Acanthuridae,12,1,,0.01862,2.91,25.72747131,25.72747131
REB,3/5/17,Calabas,FPA,1,4,GtF,Goatfish,Mulloidichthys martinicus,Carnivores,Mullidae,13,1,,0.00977,3.12,29.20100663,29.20100663
REB,3/5/17,Calabas,FPA,1,4,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,16,1,T,0.0335,2.7086,61.16798752,61.16798752
REB,3/5/17,Calabas,FPA,1,4,strp,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,13,1,T,0.01096,3.01,24.70472618,24.70472618
REB,3/5/17,Calabas,FPA,1,4,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,10,1,I,0.01072,3.12,14.13171224,14.13171224
REB,3/5/17,Calabas,FPA,1,4,bdb,Banded Butterflyfish,Chaetodan striatus,Carnivores,Chaetodontidae,5,2,,0.02239,3.03,2.937197884,5.874395769
REB,3/5/17,Calabas,FPA,1,4,BhW,Bluehead Wrasse,Thalassoma bifasciatum,Carnivores,Labridae,6,1,,0.00891,3.01,1.95935427,1.95935427
REB,3/5/17,Calabas,FPA,1,4,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,22,1,I,0.0138,3.04,166.2815393,166.2815393
REB,3/5/17,Calabas,FPA,1,4,GtF,Goatfish,Mulloidichthys martinicus,Carnivores,Mullidae,16,1,,0.00977,3.12,55.81474046,55.81474046
REB,3/5/17,Calabas,FPA,1,4,blt,Blue Tang,Acanthurus coeruleus,Herbivores,Acanthuridae,18,1,,0.02512,2.96,130.5047293,130.5047293
REB,3/5/17,Calabas,FPA,1,4,DcF,Doctorfish,Acanthurus chirurgus,Herbivores,Acanthuridae,14,1,,0.02089,2.96,51.57953536,51.57953536
REB,3/5/17,Calabas,FPA,1,4,BlT,Blue Tang,Acanthurus coeruleus,Herbivores,Acanthuridae,14,1,,0.02512,2.96,62.02383572,62.02383572
REB,3/5/17,Calabas,FPA,1,4,stop,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,21,1,I,0.0138,3.04,144.3529762,144.3529762
MWW,3/5/17,Calabas,FPA,1,1,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,40,1,,0.01479,2.95,787.1276137,787.1276137
MWW,3/5/17,Calabas,FPA,1,1,MgS,Mahogany Snapper,Lutjanus mahogoni,Carnivores,Lutjanidae,20,1,,0.01698,2.96,120.4998408,120.4998408
MWW,3/5/17,Calabas,FPA,1,1,QuP,Queen Parrotfish,Scarus vetula,Herbivores,Scaridae,40,1,I,0.0138,3.03,986.5539963,986.5539963
MWW,3/5/17,Calabas,FPA,1,1,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,35,1,I,0.0138,3.04,682.0966887,682.0966887
MWW,3/5/17,Calabas,FPA,1,1,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,6,150,,0.01479,2.98,3.082186402,462.3279604
MWW,3/5/17,Calabas,FPA,1,1,BlC,Blue Chromis,Chromis cyanea,Planktivore,Pomacentridae,8,1,,0.01479,2.98,7.264008358,7.264008358
MWW,3/5/17,Calabas,FPA,1,1,BdB,Banded Butterflyfish,Chaetodan striatus,Carnivores,Chaetodontidae,12,1,,0.02239,3.03,41.68437259,41.68437259
MWW,3/5/17,Calabas,FPA,1,1,hcc,Honeycomb Cowfish,Acanthostracion polygonia,Omnivores,Ostraciidae,34,1,,0.02818,2.83,608.1718634,608.1718634
MWW,3/5/17,Calabas,FPA,1,1,whf,Whitespotted Filefish,Cantherhines macrocerus,Carnivores,Monacanthidae,32,1,,0.02291,2.89,512.7533737,512.7533737
MWW,3/5/17,Calabas,FPA,1,1,FrG,French Grunt,Haemulon flavolineatum,Carnivores,Haemulidae,25,1,,0.01349,3,210.78125,210.78125
MWW,3/5/17,Calabas,FPA,1,1,YhW,Yellowhead Wrasse,Halichoeres garnoti,Carnivores,Labridae,14,1,,0.01,3.13,38.67058586,38.67058586
MWW,3/5/17,Calabas,FPA,1,1,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,30,1,I,0.0335,2.7086,335.7186264,335.7186264
MWW,3/5/17,Calabas,FPA,1,1,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,28,1,I,0.0335,2.7086,278.4947745,278.4947745
MWW,3/5/17,Calabas,FPA,1,1,BlM,Black Margate,Anisotremus surinamensis,Carnivores,Haemulidae,35,1,,0.0166,3.05,850.1892773,850.1892773
MWW,3/5/17,Calabas,FPA,1,1,CoN,Coney,Cephalopholis fulva,Carnivores,Serranidae,18,1,,0.01,3.02,61.79067869,61.79067869
MWW,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,18,1,I,0.01096,3.01,65.79316738,65.79316738
MWW,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,10,1,I,0.01096,3.01,11.2152912,11.2152912
MWW,3/5/17,Calabas,FPA,1,1,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,22,1,T,0.01072,3.12,165.4068723,165.4068723
MWW,3/5/17,Calabas,FPA,1,1,bbs,Blackbar soldierfish,Myripristis jacobus ,Carnivores,Holocentridae,21,1,,0.01202,3.06,133.6273973,133.6273973
MWW,3/5/17,Calabas,FPA,1,1,SpD,Spotted Drum,Equetus punctatus,Carnivores,Sciaenidae,15,1,,0.00832,3.09,35.82987696,35.82987696
MWW,3/5/17,Calabas,FPA,1,1,YhW,Yellowhead Wrasse,Halichoeres garnoti,Carnivores,Labridae,12,1,,0.01,3.13,23.86916904,23.86916904
MWW,3/5/17,Calabas,FPA,1,1,trum,Atlantic trumpetfish,Aulostomus maculatus,Carnivores,Aulostomidae,41,1,,0.0001,3.554,53.93042301,53.93042301
MWW,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,30,1,T,0.01096,3.01,306.1579427,306.1579427
MWW,3/5/17,Calabas,FPA,1,1,SgM,Sergeant Major,Abudefduf saxatilis,Carnivores,Pomacentridae,10,40,,0.0182,3.05,20.42073587,816.8294347
MWW,3/5/17,Calabas,FPA,1,1,YhW,Yellowhead Wrasse,Halichoeres garnoti,Carnivores,Labridae,10,1,,0.01,3.13,13.48962883,13.48962883
MWW,3/5/17,Calabas,FPA,1,1,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,30,1,,0.0335,2.7086,335.7186264,335.7186264
MWW,3/5/17,Calabas,FPA,1,1,bbs,Blackbar soldierfish,Myripristis jacobus ,Carnivores,Holocentridae,20,2,,0.01202,3.06,115.0949462,230.1898925
MWW,3/5/17,Calabas,FPA,1,1,PuD,Puddingwife,Halichoeres radiatus,Carnivores,Labridae,12,1,,0.0131,3.038,24.87848449,24.87848449
MWW,3/5/17,Calabas,FPA,1,1,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,35,1,I,0.0138,3.04,682.0966887,682.0966887
MWW,3/5/17,Calabas,FPA,1,1,GrB,Graysby,Cephalopholis cruentata,Carnivores,Serranidae,25,1,,0.01122,3.07,219.6183799,219.6183799
MWW,3/5/17,Calabas,FPA,1,1,lsq,Longspine Squirrelfish,Holocentrus rufus,Carnivores,Holocentridae,18,1,,0.01148,2.89,48.71687563,48.71687563
MWW,3/5/17,Calabas,FPA,1,1,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,40,1,I,0.0138,3.04,1023.626357,1023.626357
MWW,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,18,1,i,0.01096,3.01,65.79316738,65.79316738
MWW,3/5/17,Calabas,FPA,1,1,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,10,1,,0.01096,3.01,11.2152912,11.2152912
MWW,3/5/17,Calabas,FPA,1,1,FrG,French Grunt,Haemulon flavolineatum,Carnivores,Haemulidae,20,1,,0.01349,3,107.92,107.92
MWW,3/5/17,Calabas,FPA,1,1,FrG,French Grunt,Haemulon flavolineatum,Carnivores,Haemulidae,21,1,,0.01349,3,124.93089,124.93089
MWW,3/5/17,Calabas,FPA,1,1,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,38,1,T,0.0138,3.04,875.8328294,875.8328294
MWW,3/5/17,Calabas,FPA,1,1,rkb,Rock Beauty,Holacanthus tricolour,Omnivores,Pomacanthidae,32,1,,0.03388,2.91,812.6992118,812.6992118
MWW,3/5/17,Calabas,FPA,1,1,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,30,1,I,0.0138,3.04,426.9015196,426.9015196
MWW,3/5/17,Calabas,FPA,1,1,GrB,Graysby,Cephalopholis cruentata,Carnivores,Serranidae,26,1,,0.01122,3.07,247.7199794,247.7199794
MWW,3/5/17,Calabas,FPA,1,1,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,30,1,T,0.0335,2.7086,335.7186264,335.7186264
MWW,3/5/17,Calabas,FPA,1,1,QuP,Queen Parrotfish,Scarus vetula,Herbivores,Scaridae,42,1,T,0.0138,3.03,1143.732432,1143.732432
MWW,3/5/17,Calabas,FPA,1,1,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,26,1,T,0.01072,3.12,278.5554314,278.5554314
MWW,3/5/17,Calabas,FPA,1,1,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,12,1,I,0.01072,3.12,24.95975241,24.95975241
MWW,3/5/17,Calabas,FPA,1,1,FrA,French Angelfish,Pomacanthus paru,Carnivores,Pomacanthidae,31,1,,0.0309,2.95,775.3101619,775.3101619
MWW,3/5/17,Calabas,FPA,1,2,BaJ,Bar Jack,Caranx ruber,Carnivores,Carangidae,45,2,,0.01698,2.95,1279.129755,2558.25951
MWW,3/5/17,Calabas,FPA,1,2,sms,Schoolmaster snapper,Lutjanus apodus,Carnivores,Lutjanidae,35,1,,0.01413,2.98,564.2413813,564.2413813
MWW,3/5/17,Calabas,FPA,1,2,DgS,Dog Snapper,Lutjanus jocu,Carnivores,Lutjanidae,40,1,,0.01514,2.98,900.0458822,900.0458822
MWW,3/5/17,Calabas,FPA,1,2,StoP,Stoplight Parrotfish,Sparisoma viride,Herbivores,Scaridae,42,1,T,0.0138,3.04,1187.290326,1187.290326
MWW,3/5/17,Calabas,FPA,1,2,BaJ,Bar Jack,Caranx ruber,Carnivores,Carangidae,28,2,,0.01698,2.95,315.5396056,631.0792112
MWW,3/5/17,Calabas,FPA,1,2,SpH,Spanish Hogfish,Bodianus rufus,Carnivores,Labridae,30,1,,0.0144,3.0532,465.9175901,465.9175901
MWW,3/5/17,Calabas,FPA,1,2,rkb,Rock Beauty,Holacanthus tricolour,Omnivores,Pomacanthidae,20,1,,0.03388,2.91,206.9858652,206.9858652
MWW,3/5/17,Calabas,FPA,1,2,PrP,Princess Parrotfish,Scarus taeniopterus,Herbivores,Scaridae,29,1,T,0.0335,2.7086,306.264052,306.264052
MWW,3/5/17,Calabas,FPA,1,2,DcF,Doctorfish,Acanthurus chirurgus,Herbivores,Acanthuridae,22,1,,0.02089,2.96,196.5665319,196.5665319
MWW,3/5/17,Calabas,FPA,1,2,bbs,Blackbar soldierfish,Myripristis jacobus ,Carnivores,Holocentridae,15,12,,0.01202,3.06,47.72475641,572.6970769
MWW,3/5/17,Calabas,FPA,1,2,SmG,Smallmouth Grunt,Haemulon chrysargyreum,Carnivores,Haemulidae,20,1,,0.01259,2.99,97.74744564,97.74744564
MWW,3/5/17,Calabas,FPA,1,2,whf,Whitespotted Filefish,Cantherhines macrocerus,Carnivores,Monacanthidae,20,1,,0.02291,2.89,131.8262131,131.8262131
MWW,3/5/17,Calabas,FPA,1,2,FrA,French Angelfish,Pomacanthus paru,Carnivores,Pomacanthidae,26,1,,0.0309,2.95,461.4555311,461.4555311
MWW,3/5/17,Calabas,FPA,1,2,GrB,Graysby,Cephalopholis cruentata,Carnivores,Serranidae,20,1,,0.01122,3.07,110.7018666,110.7018666
MWW,3/5/17,Calabas,FPA,1,2,StrP,Striped Parrotfish,Scarus iserti,Herbivores,Scaridae,22,1,I,0.01096,3.01,120.3657215,120.3657215
MWW,3/5/17,Calabas,FPA,1,2,BrC,Brown Chromis,Chromis multilineata,Planktivore,Pomacentridae,8,60,,0.01479,2.98,7.264008358,435.8405015
MWW,3/5/17,Calabas,FPA,1,2,rbp,Redband Parrotfish,Sparisoma aurofrenatum,Herbivores,Scaridae,22,1,T,0.01072,3.12,165.4068723,165.4068723
MWW,3/5/17,Calabas,FPA,1,2,ocs,Ocean Surgeonfish,Acanthurus bahianus,Herbivores,Acanthuridae,20,1,,0.01862,2.91,113.7566945,113.7566945
MWW,3/5/17,Calabas,FPA,1,2,YtS,Yellowtail Snapper,Ocyurus chrysurus,Carnivores,Lutjanidae,25,1,,0.01479,2.95,196.7393352,196.7393352
MWW,3/5/17,Calabas,FPA,1,2,QuP,Queen Parrotfish,Scarus vetula,Herbivores,Scaridae,30,1,I,0.0138,3.03,412.6259034,412.6259034
MWW,3/5/17,Calabas,FPA,1,2,GtF,Goatfish,Mulloidichthys martinicus,Carnivores,Mullidae,14,3,,0.00977,3.12,36.79713745,110.3914124
